iteracao FITNESS
0 10000
200 458.1144948982765
400 456.9955696861705
600 454.66759352617066
800 452.3478675314459
1000 452.3478675314459
0 10000
200 450.31708898066876
400 450.31708898066876
600 450.31708898066876
800 450.31708898066876
1000 450.31708898066876
0 10000
200 454.1553602454583
400 447.1363140091796
600 447.1363140091796
800 447.1363140091796
1000 447.1363140091796
0 10000
200 449.62922711328446
400 449.62922711328446
600 449.62922711328446
800 449.62922711328446
1000 449.62922711328446
0 10000
200 449.9902046742169
400 449.9902046742169
600 449.9902046742169
800 449.30119531160926
1000 449.30119531160926
0 10000
200 458.1144948982765
400 456.9955696861705
600 454.66759352617066
800 452.3478675314459
1000 452.3478675314459
0 10000
200 450.31708898066876
400 450.31708898066876
600 450.31708898066876
800 450.31708898066876
1000 450.31708898066876
0 10000
200 454.1553602454583
400 447.1363140091796
600 447.1363140091796
800 447.1363140091796
1000 447.1363140091796
0 10000
200 449.62922711328446
400 449.62922711328446
600 449.62922711328446
800 449.62922711328446
1000 449.62922711328446
0 10000
200 449.9902046742169
400 449.9902046742169
600 449.9902046742169
800 449.30119531160926
1000 449.30119531160926
0 10000
200 453.8694184071922
400 453.8694184071922
600 451.00256377531974
800 451.00256377531974
1000 451.00256377531974
0 10000
200 457.4105283196474
400 457.4105283196474
600 443.3749289046973
800 443.3749289046973
1000 443.3749289046973
0 10000
200 440.3421151851791
400 440.3421151851791
600 440.3421151851791
800 440.3421151851791
1000 440.3421151851791
0 10000
200 451.31906948422994
400 451.31906948422994
600 451.31906948422994
800 451.31906948422994
1000 451.31906948422994
0 10000
200 449.2899407080726
400 449.2899407080726
600 446.3391794909952
800 446.3391794909952
1000 446.3391794909952
0 10000
200 449.69932827188705
400 449.69932827188705
600 449.69932827188705
800 449.69932827188705
1000 449.69932827188705
0 10000
200 458.1144948982765
400 456.9955696861705
600 454.66759352617066
800 452.3478675314459
1000 452.3478675314459
0 10000
200 450.31708898066876
400 450.31708898066876
600 450.31708898066876
800 450.31708898066876
1000 450.31708898066876
0 10000
200 454.1553602454583
400 447.1363140091796
600 447.1363140091796
800 447.1363140091796
1000 447.1363140091796
0 10000
200 458.1144948982765
400 456.9955696861705
600 454.66759352617066
800 452.3478675314459
1000 452.3478675314459
0 10000
200 450.31708898066876
400 450.31708898066876
600 450.31708898066876
800 450.31708898066876
1000 450.31708898066876
0 10000
200 454.1553602454583
400 447.1363140091796
600 447.1363140091796
800 447.1363140091796
1000 447.1363140091796
0 10000
200 449.62922711328446
400 449.62922711328446
600 449.62922711328446
800 449.62922711328446
1000 449.62922711328446
0 10000
200 449.9902046742169
400 449.9902046742169
600 449.9902046742169
800 449.30119531160926
1000 449.30119531160926
0 10000
200 449.62922711328446
400 449.62922711328446
600 449.62922711328446
800 449.62922711328446
1000 449.62922711328446
0 10000
200 449.9902046742169
400 449.9902046742169
600 449.9902046742169
800 449.30119531160926
1000 449.30119531160926
0 10000
200 453.8694184071922
400 453.8694184071922
600 451.00256377531974
800 451.00256377531974
1000 451.00256377531974
0 10000
200 457.4105283196474
400 457.4105283196474
600 443.3749289046973
800 443.3749289046973
1000 443.3749289046973
0 10000
200 440.3421151851791
400 440.3421151851791
600 440.3421151851791
800 440.3421151851791
1000 440.3421151851791
0 10000
200 451.31906948422994
400 451.31906948422994
600 451.31906948422994
800 451.31906948422994
1000 451.31906948422994
