amostra	GBEST
1	346.05118
20	261.106483
40	253.047399
60	233.772703
80	212.076368
100	212.076368
1	335.518267
20	244.785167
40	244.785167
60	209.017571
80	209.017571
100	209.017571
1	333.449397
20	236.992806
40	232.104147
60	194.047592
80	194.047592
100	194.047592
1	331.430115
20	242.318437
40	242.318437
60	202.887497
80	202.887497
100	202.887497
1	359.588614
20	253.203051
40	227.262428
60	225.747277
80	225.747277
100	204.929564
1	354.922264
20	241.287879
40	241.287879
60	241.287879
80	235.119171
100	213.645988
1	266.553754
20	225.462124
40	225.462124
60	225.462124
80	192.04149
100	192.04149
1	360.300823
20	238.656751
40	211.602291
60	211.602291
80	211.602291
100	211.602291
1	314.962864
20	229.812941
40	229.812941
60	229.812941
80	229.812941
100	212.06944
1	341.99411
20	229.775196
40	229.775196
60	229.775196
80	212.508022
100	212.508022
1	344.959963
20	232.589868
40	185.192941
60	185.192941
80	185.192941
100	185.192941
1	382.738528
20	240.388893
40	221.072743
60	221.072743
80	221.072743
100	216.443987
1	350.510485
20	232.631174
40	232.631174
60	217.375425
80	217.375425
100	217.375425
1	332.639662
20	257.883623
40	208.319625
60	208.319625
80	208.319625
100	208.319625
1	346.784731
20	252.496627
40	220.884204
60	220.884204
80	220.884204
100	220.884204
1	366.701114
20	233.047211
40	226.365965
60	210.866953
80	210.866953
100	210.866953
1	354.173884
20	217.401577
40	216.739737
60	211.387613
80	211.387613
100	211.387613
1	358.624655
20	236.001705
40	236.001705
60	228.006783
80	176.013648
100	176.013648
1	317.551427
20	251.008036
40	221.254104
60	221.254104
80	193.556428
100	193.556428
1	359.283789
20	243.89965
40	212.489197
60	212.489197
80	212.489197
100	212.489197
1	356.252744
20	226.807273
40	217.187551
60	217.187551
80	217.187551
100	213.6347
1	362.304327
20	257.651949
40	210.29807
60	210.29807
80	202.299828
100	202.299828
1	347.455925
20	228.368256
40	228.147667
60	183.391039
80	183.391039
100	183.391039
1	361.372076
20	236.820792
40	202.951051
60	202.951051
80	202.951051
100	202.951051
1	307.718334
20	254.815362
40	216.289328
60	216.289328
80	216.289328
100	200.953811
1	355.864976
20	247.384606
40	206.000229
60	206.000229
80	206.000229
100	206.000229
1	334.529386
20	232.331602
40	200.585539
60	200.585539
80	193.733972
100	193.733972
1	348.090674
20	243.938609
40	208.270256
60	208.270256
80	208.270256
100	208.270256
1	358.517176
20	224.597062
40	224.597062
60	224.597062
80	224.597062
100	224.597062
1	383.513399
20	256.711333
40	196.70737
60	196.70737
80	196.70737
100	196.70737
