x	GBEST
1	342.770989
2	330.534747
3	316.523685
4	306.694195
5	268.631328
6	268.631328
7	268.631328
8	268.631328
9	268.631328
10	268.631328
11	268.631328
12	268.631328
13	268.631328
14	268.631328
15	256.320073
16	256.320073
17	256.320073
18	256.320073
19	256.069997
20	256.069997
21	256.069997
22	256.069997
23	256.069997
24	256.069997
25	256.069997
26	256.069997
27	256.069997
28	256.069997
29	256.069997
30	256.069997
31	256.069997
32	252.200925
33	252.200925
34	252.200925
35	252.200925
36	252.200925
37	252.200925
38	252.200925
39	252.200925
40	252.200925
41	226.391399
42	226.391399
43	226.391399
44	226.391399
45	226.391399
46	226.391399
47	226.391399
48	226.391399
49	226.391399
50	226.391399
51	226.391399
52	226.391399
53	226.391399
54	226.391399
55	226.391399
56	226.391399
57	226.391399
58	226.391399
59	226.391399
60	226.391399
61	226.391399
62	226.391399
63	226.391399
64	226.391399
65	226.391399
66	226.391399
67	226.391399
68	226.391399
69	226.391399
70	226.391399
71	226.391399
72	226.391399
73	226.391399
74	226.391399
75	226.391399
76	226.391399
77	226.391399
78	226.391399
79	226.391399
80	226.391399
81	226.391399
82	226.391399
83	226.391399
84	226.391399
85	226.391399
86	226.391399
87	226.391399
88	226.391399
89	226.391399
90	226.391399
91	226.391399
92	226.391399
93	226.391399
94	226.391399
95	226.391399
96	226.391399
97	226.391399
98	226.391399
99	226.391399
100	226.391399
