amostra	GBEST
1	362.707161
20	251.351453
40	251.351453
60	241.616256
80	241.616256
100	241.616256
1	328.21122
20	255.641798
40	231.189538
60	231.189538
80	231.189538
100	216.416637
1	324.515759
20	253.006495
40	218.265169
60	218.265169
80	218.265169
100	218.265169
1	337.092904
20	238.56403
40	238.56403
60	238.56403
80	238.56403
100	238.56403
1	334.480104
20	220.990637
40	220.990637
60	220.990637
80	220.990637
100	220.990637
1	330.750076
20	245.400425
40	244.899596
60	244.899596
80	225.2941
100	225.2941
1	337.11217
20	213.852811
40	213.852811
60	213.852811
80	213.852811
100	213.852811
1	298.21585
20	270.966143
40	264.440345
60	249.396438
80	249.396438
100	249.396438
1	340.918007
20	237.548132
40	237.548132
60	237.548132
80	237.548132
100	237.548132
1	314.679886
20	244.115459
40	244.115459
60	244.115459
80	244.115459
100	219.666941
1	365.823999
20	199.401607
40	199.401607
60	199.401607
80	199.401607
100	199.401607
1	327.726508
20	253.062511
40	230.513781
60	230.513781
80	230.513781
100	217.451674
1	336.328176
20	247.381001
40	246.322652
60	244.931116
80	244.931116
100	244.931116
1	335.155079
20	234.898659
40	230.084037
60	216.933902
80	216.933902
100	205.30729
1	324.630409
20	248.669185
40	248.669185
60	202.039058
80	202.039058
100	202.039058
1	336.61926
20	228.396881
40	228.396881
60	226.680359
80	226.680359
100	226.680359
1	291.279548
20	264.358439
40	228.887209
60	228.887209
80	228.887209
100	222.874874
1	339.415018
20	249.678358
40	249.678358
60	218.547543
80	218.547543
100	218.547543
1	327.08305
20	230.904541
40	219.835047
60	219.835047
80	219.835047
100	219.835047
1	305.370944
20	259.037677
40	255.605075
60	255.605075
80	254.219429
100	252.594746
1	329.146406
20	261.711077
40	246.791434
60	246.791434
80	246.791434
100	235.235506
1	309.861402
20	269.606405
40	241.021178
60	241.021178
80	241.021178
100	227.266834
1	346.74127
20	207.715638
40	207.715638
60	207.715638
80	207.715638
100	207.715638
1	309.492163
20	265.971128
40	250.851919
60	250.851919
80	247.975463
100	231.314674
1	311.40398
20	232.455839
40	232.455839
60	232.455839
80	232.455839
100	208.20586
1	319.19598
20	252.131401
40	222.520461
60	214.145701
80	214.145701
100	214.145701
1	360.145195
20	235.343942
40	222.420813
60	222.420813
80	222.420813
100	222.420813
1	334.80341
20	229.393408
40	229.393408
60	229.393408
80	229.393408
100	197.982224
1	304.937316
20	258.238226
40	258.238226
60	229.785185
80	189.855875
100	189.855875
1	347.28338
20	265.742576
40	191.242045
60	191.242045
80	191.242045
100	191.242045
