x	GBEST
1	375.810595
2	310.16451
3	310.16451
4	310.16451
5	310.16451
6	310.16451
7	301.389025
8	290.121258
9	290.121258
10	290.121258
11	290.121258
12	290.121258
13	290.121258
14	267.196624
15	267.196624
16	267.196624
17	267.196624
18	267.196624
19	267.196624
20	238.645478
21	238.645478
22	238.645478
23	238.645478
24	238.645478
25	238.645478
26	238.645478
27	238.645478
28	238.645478
29	238.645478
30	238.645478
31	238.645478
32	238.645478
33	238.645478
34	238.645478
35	238.645478
36	238.645478
37	238.645478
38	238.645478
39	238.645478
40	238.645478
41	238.645478
42	238.645478
43	238.645478
44	238.645478
45	238.645478
46	238.645478
47	238.645478
48	238.645478
49	238.645478
50	238.645478
51	226.293821
52	226.293821
53	226.293821
54	226.293821
55	226.293821
56	226.293821
57	226.293821
58	226.293821
59	226.293821
60	226.293821
61	226.293821
62	226.293821
63	226.293821
64	226.293821
65	226.293821
66	226.293821
67	226.293821
68	226.293821
69	226.293821
70	226.293821
71	226.293821
72	226.293821
73	226.293821
74	226.293821
75	226.293821
76	226.293821
77	226.293821
78	226.293821
79	226.293821
80	226.293821
81	226.293821
82	226.293821
83	226.293821
84	226.293821
85	226.293821
86	226.293821
87	226.293821
88	226.293821
89	226.293821
90	226.293821
91	226.293821
92	226.293821
93	226.293821
94	226.293821
95	226.293821
96	226.293821
97	226.293821
98	226.293821
99	226.293821
100	226.293821
