gbest	iteracao
401.0974900011586	0
129.43887067983312	50
85.4549093295812	100
53.86626198586636	150
36.33061278484543	200
30.31843082585391	250
24.04445170168482	300
20.0793733736366	350
17.779509595673524	400
12.563845333612356	450
9.178294630145423	500
8.491203691814157	550
7.430315444449434	600
6.662603631601797	650
6.649520278585616	700
5.406689786167281	750
5.293172662478828	800
4.041214363474756	850
4.034472219968	900
3.791914710861249	950
3.705749385581811	1000
449.6420874047176	0
140.2243148204536	50
87.47681937590191	100
54.99944894360102	150
34.59499382038732	200
29.005815730026374	250
27.0606851938234	300
22.944825883618083	350
19.99218409079059	400
16.717868315283923	450
13.187649253952332	500
12.224373238360743	550
10.879284204199935	600
7.979126649177603	650
7.923287155620047	700
7.923287155620047	750
6.190416644527348	800
6.058159006462548	850
5.74006708471231	900
5.661743991789622	950
5.661743991789622	1000
396.5112594566105	0
137.20223009008316	50
81.72737678960836	100
59.230367617110154	150
48.076300244432794	200
37.27708215451554	250
30.098571399594718	300
23.14385282370516	350
15.906119581059864	400
13.778368037599174	450
10.646842155146357	500
9.009240729295938	550
9.004676522497716	600
7.6031899551288245	650
6.350136852781558	700
5.703359049269292	750
5.178270443988506	800
5.178270443988506	850
5.141703726225561	900
4.484389584709323	950
4.474900783486223	1000

448.3578897481051	0
102.8879690936837	50
58.045676619675675	100
37.02755039988956	150
28.925438102440232	200
24.489878083355507	250
21.301503230180202	300
18.394651981721864	350
15.304614667584914	400
12.81460023731465	450
12.001123417048845	500
10.702557434609083	550
8.71973689888484	600
8.71973689888484	650
7.514821327628312	700
6.676532540600007	750
6.40087440283294	800
6.087087954893747	850
5.263935406845734	900
5.020820223203772	950
3.802894446741224	1000
435.7720908215266	0
106.56456905590076	50
72.39301283881903	100
50.4442536625096	150
43.144005759591714	200
31.518421831824377	250
28.05396508892386	300
25.601060135964303	350
20.719322117421484	400
16.943502875804	450
16.938958453016845	500
14.390825108899643	550
12.548337386575065	600
11.378761696769297	650
9.635626841752932	700
8.098643889074944	750
6.623083125014668	800
5.857182860662469	850
5.295860921421436	900
4.292271539138817	950
3.794718505543969	1000
425.079848348587	0
135.3422639490136	50
69.06774558010181	100
50.10440090648532	150
35.819304546078655	200
26.011211418090298	250
20.829567701100025	300
19.911169599084893	350
16.78645027478796	400
15.474520957006426	450
14.402463077753033	500
10.164899740768142	550
8.41669818643824	600
6.949396739522626	650
6.619328943710002	700
5.211292799488106	750
4.241427996393	800
4.112530688755285	850
4.112530688755285	900
4.024409383450148	950
3.488744134802772	1000
452.87927554823193	0
129.4436614740116	50
73.20985348203726	100
44.60321767977459	150
38.87025793476265	200
34.951040385297304	250
23.917588382981766	300
18.50247962472604	350
15.025616872252296	400
13.142043717732841	450
12.367796545668854	500
11.892332947822554	550
11.337878750695154	600
10.263631975730675	650
9.21203606407326	700
7.162574422224935	750
5.4702662640126185	800
5.251419763158296	850
4.802435336833412	900
4.7305324049756905	950
4.542775862185275	1000
456.77303255892195	0
126.26327087077965	50
74.40448699228571	100
52.403615008458694	150
34.651997523981	200
25.987531581292288	250
20.746722317622844	300
16.66198885249779	350
12.347633753777881	400
11.653763689563629	450
10.86414243954324	500
8.092683458086892	550
6.6842054437842755	600
5.0130812170608685	650
3.7595883266975285	700
3.4607603246239513	750
3.2660099173483523	800
2.975007877203577	850
2.6423588730578693	900
2.3333336863361147	950
1.9047668889700695	1000
457.1169626874907	0
137.3998768226941	50
78.62218345363087	100
48.9334166281437	150
37.328927090250374	200
25.84386667342561	250
19.678023977437093	300
13.255875586512174	350
12.02039399806135	400
11.672670824954814	450
9.464124944226604	500
8.874403038924505	550
8.343201019266294	600
7.07339075249944	650
5.837667057626097	700
5.837667057626097	750
4.6597976639863035	800
3.7196360784259994	850
3.650500299071588	900
3.650500299071588	950
3.041121859478295	1000
453.4405213310688	0
112.36792477169328	50
61.139090311660084	100
46.66077568723075	150
36.998362373681445	200
27.83038472014222	250
21.144531044360484	300
16.26651485290413	350
13.606880126748521	400
11.365080004705447	450
11.261332575751702	500
10.437209986438994	550
10.125110967485845	600
7.954578673869413	650
7.79530786108166	700
6.466423568795953	750
6.278678598624957	800
6.278678598624957	850
5.475127323488493	900
4.929577563239434	950
4.929577563239434	1000
471.36711530962793	0
131.738021971643	50
58.14286510595655	100
48.39615169608225	150
40.18128419525252	200
28.736164987797274	250
