gbest	iteracao
2.8469310787997077	800
2.768622963297142	850
2.607204655816309	900
2.548350577311769	950
1.2060509284955145	1000
478.95250676371006	0
118.65681425680887	50
69.83432951634072	100
50.10910813100446	150
34.25647737181323	200
26.886417984056333	250
18.8157256431304	300
16.33769160014161	350
13.47942343903219	400
12.310806742534064	450
10.332220012662853	500
8.043450464145772	550
7.039837473223459	600
6.667065859484321	650
3.874268735658159	700
3.6030545428065857	750
2.853647929469286	800
2.5077557895176064	850
2.051281524787644	900
2.051281524787644	950
1.800197804819394	1000
453.1109944376676	0
121.98207665555609	50
81.76379872774842	100
52.35154745314258	150
40.90866763865186	200
28.961169250483277	250
21.121057621360922	300
17.393299376705958	350
14.731762887457823	400
12.353766903277542	450
11.774085500429987	500
8.784863847172428	550
6.561003486587833	600
5.048080403015399	650
4.817391139639506	700
4.513382186043907	750
4.513382186043907	800
4.5115791467110515	850
3.7497854593125712	900
2.726455519634877	950
1.8772614164149868	1000
414.68888729682385	0
99.10097772944776	50
69.78429773073398	100
44.6904410776669	150
35.76921739433701	200
29.58073392808597	250
23.694264122767898	300
18.103839880040034	350
14.765809786938844	400
13.682628974820984	450
10.867198594041467	500
8.002848467625055	550
7.601542678352361	600
7.49140414881167	650
7.1296387941562305	700
6.754204183324598	750
6.252083404186388	800
4.881210275355942	850
4.279414983045102	900
3.494405492887596	950
3.4095018913526918	1000
401.0694576981471	0
119.7181183752249	50
78.35423843556886	100
56.00173910258624	150
44.96228160214726	200
29.895640202802607	250
28.062153470625287	300
22.881220946641594	350
19.740634822025772	400
15.484496145684364	450
13.835094182745028	500
10.463453636838988	550
8.193460949679205	600
7.027573689597203	650
4.435293679100532	700
2.5237441343959404	750
2.193879541983904	800
2.023365105661627	850
1.9467432299714194	900
1.7579670958294304	950
1.680205216338864	1000
416.38563342662593	0
138.83501586286613	50
88.97542879400456	100
45.43321737639165	150
33.522366181413915	200
26.521067137334015	250
24.11070633571852	300
21.508017717675116	350
17.84190170699307	400
15.92296702391832	450
14.85075601617851	500
13.650701762203825	550
12.051349746725856	600
11.721871205589787	650
9.050933407314995	700
8.296620808074417	750
7.173190198306608	800
6.772510743778193	850
5.760071180614981	900
5.760071180614981	950
5.619162062539923	1000
441.7402488156681	0
104.36218681758673	50
68.60628314375903	100
40.528294505462256	150
27.86854132363254	200
23.90810537759083	250
21.186400302930693	300
19.730347888210517	350
16.69788722926802	400
15.82135015586085	450
14.549499141359599	500
12.514426314973457	550
10.948808351471003	600
9.095617106933586	650
7.567398659019174	700
6.948587016832098	750
6.678153913593169	800
6.172684312344066	850
5.3210211093789255	900
5.0368777839872365	950
4.786781248330094	1000
