amostra	GBEST
1	375.810595
20	238.645478
40	238.645478
60	226.293821
80	226.293821
100	226.293821
1	374.103872
20	252.25757
40	252.25757
60	240.003165
80	240.003165
100	240.003165
1	379.475269
20	280.798332
40	250.085577
60	237.625064
80	237.625064
100	237.625064
1	406.133181
20	272.929067
40	267.008712
60	222.501083
80	222.501083
100	222.501083
1	306.95572
20	231.896489
40	231.896489
60	231.896489
80	231.896489
100	230.168376
1	370.831923
20	267.40796
40	267.40796
60	245.805439
80	238.835659
100	238.835659
1	315.151391
20	285.829187
40	269.517387
60	262.369713
80	224.774339
100	224.774339
1	384.72157
20	287.233051
40	225.399842
60	225.399842
80	225.399842
100	225.399842
1	319.255228
20	259.644331
40	235.026631
60	235.026631
80	204.449082
100	204.449082
1	343.230342
20	265.044509
40	258.931481
60	258.931481
80	241.003572
100	241.003572
1	326.896016
20	287.280568
40	264.185334
60	251.258156
80	224.173608
100	224.173608
1	407.212063
20	274.207565
40	245.892561
60	243.46482
80	222.246612
100	204.796083
1	401.117421
20	240.855892
40	232.618704
60	228.882495
80	228.882495
100	228.882495
1	406.730212
20	239.092875
40	232.043514
60	232.043514
80	232.043514
100	229.683393
1	377.801338
20	264.612571
40	229.979267
60	229.979267
80	227.688682
100	227.688682
1	380.915876
20	254.654005
40	254.654005
60	254.654005
80	254.654005
100	254.654005
1	357.538361
20	263.263982
40	263.263982
60	263.263982
80	247.553692
100	247.553692
1	332.306346
20	262.13409
40	262.13409
60	244.161755
80	244.161755
100	244.161755
1	377.345082
20	281.769892
40	246.210731
60	240.070842
80	240.070842
100	240.070842
1	376.349393
20	246.026748
40	238.933156
60	213.952208
80	213.952208
100	199.679553
1	361.331755
20	235.646763
40	235.646763
60	235.646763
80	229.173758
100	229.173758
1	270.368682
20	262.207257
40	262.207257
60	229.800651
80	197.318694
100	197.318694
1	332.071164
20	238.443494
40	238.443494
60	238.443494
80	238.443494
100	238.443494
1	339.867649
20	278.244285
40	264.166266
60	234.82452
80	234.82452
100	234.82452
1	365.853925
20	247.460756
40	241.423644
60	219.093745
80	219.093745
100	219.093745
1	353.42214
20	253.887648
40	253.887648
60	236.782023
80	236.782023
100	236.782023
1	371.024843
20	262.518659
40	233.525676
60	233.525676
80	233.525676
100	233.525676
1	313.045211
20	257.509556
40	257.509556
60	241.384096
80	235.202926
100	235.202926
1	390.280448
20	245.342293
40	245.342293
60	245.342293
80	245.342293
100	245.342293
1	369.905757
20	256.944059
40	256.944059
60	256.944059
80	236.67144
100	236.67144
