amostra	GBEST
1	381.725258
20	265.5395
40	250.810081
60	250.810081
80	250.810081
100	226.184869
1	378.072604
20	289.07991
40	256.431205
60	256.431205
80	239.490959
100	239.490959
1	361.383701
20	272.562345
40	266.920829
60	249.117873
80	249.117873
100	246.70518
1	325.481774
20	268.532393
40	268.532393
60	268.532393
80	260.145177
100	256.232823
1	368.805381
20	271.002774
40	271.002774
60	258.684344
80	258.684344
100	258.684344
1	335.615482
20	272.094598
40	272.094598
60	247.030163
80	237.634905
100	237.634905
1	314.084162
20	263.051838
40	257.26156
60	257.26156
80	257.26156
100	256.324847
1	357.43965
20	240.123249
40	240.123249
60	240.123249
80	240.123249
100	240.123249
1	323.351088
20	234.192501
40	234.192501
60	234.192501
80	234.192501
100	208.388825
1	332.10274
20	277.247133
40	277.247133
60	277.247133
80	270.607531
100	270.607531
1	360.884724
20	243.168242
40	243.168242
60	237.626013
80	237.626013
100	237.626013
1	339.656798
20	272.7285
40	272.7285
60	264.152671
80	264.152671
100	264.152671
1	293.441072
20	258.79723
40	258.79723
60	258.79723
80	255.177366
100	252.303933
1	404.237472
20	249.133976
40	249.133976
60	249.133976
80	249.133976
100	249.133976
1	343.277973
20	262.269619
40	252.461273
60	252.461273
80	252.461273
100	238.243404
1	322.80375
20	268.975554
40	258.229335
60	258.229335
80	258.229335
100	258.229335
1	359.151945
20	244.370731
40	244.370731
60	244.370731
80	224.795949
100	224.795949
1	336.280963
20	273.104063
40	265.094715
60	224.164995
80	224.164995
100	224.164995
1	333.889081
20	284.734044
40	278.390576
60	244.29395
80	244.29395
100	244.29395
1	349.054637
20	234.939981
40	234.939981
60	234.939981
80	233.025824
100	233.025824
1	347.852664
20	258.668365
40	258.074439
60	255.731467
80	255.731467
100	255.731467
1	374.527671
20	278.378929
40	249.193949
60	249.193949
80	249.193949
100	249.193949
1	341.983938
20	265.434706
40	265.434706
60	246.913267
80	246.913267
100	246.913267
1	347.036935
20	263.712201
40	263.712201
60	260.873711
80	260.873711
100	255.133726
1	374.616844
20	234.49564
40	234.49564
60	234.49564
80	234.49564
100	230.041207
1	374.140624
20	284.436448
40	254.931624
60	254.931624
80	254.931624
100	237.623284
1	365.546283
20	247.716095
40	247.716095
60	247.716095
80	247.716095
100	247.716095
1	388.771564
20	250.257092
40	250.257092
60	250.257092
80	250.257092
100	238.198795
1	339.228405
20	272.991587
40	254.128106
60	254.128106
80	254.128106
100	254.128106
1	373.2291
20	280.83231
40	272.162422
60	271.411901
80	271.411901
100	258.381686
