ano;m3s;log
set/1949;177;5,177323081
out/1949;300;5,704476996
nov/1949;550;6,310298302
dez/1949;900;6,802627711
jan/1950;794;6,677348302
fev/1950;982;6,889806066
mar/1950;1531;7,333814566
abr/1950;972;6,879574304
mai/1950;411;6,019112129
jun/1950;251;5,526305309
jul/1950;181;5,199684059
ago/1950;149;5,005402674
set/1950;135;4,906896776
out/1950;222;5,403671255
nov/1950;563;6,333674964
dez/1950;733;6,597452221
jan/1951;995;6,902970722
fev/1951;1067;6,972820777
mar/1951;1371;7,223464188
abr/1951;1201;7,091104327
mai/1951;553;6,3157853
jun/1951;433;6,071288696
jul/1951;309;5,734120795
ago/1951;246;5,506320864
set/1951;239;5,477489608
out/1951;213;5,362448468
nov/1951;236;5,464882307
dez/1951;716;6,57402943
jan/1952;530;6,273352881
fev/1952;697;6,547150282
mar/1952;1879;7,538631527
abr/1952;658;6,489599015
mai/1952;453;6,116471166
jun/1952;262;5,5693545
jul/1952;184;5,216386806
ago/1952;142;4,957725979
set/1952;134;4,899864828
out/1952;144;4,971701721
nov/1952;356;5,875698833
dez/1952;1048;6,954901797
jan/1953;466;6,144781479
fev/1953;528;6,269626067
mar/1953;866;6,764210479
abr/1953;845;6,739673877
mai/1953;364;5,897945719
jun/1953;265;5,580826593
jul/1953;205;5,324439886
ago/1953;173;5,155002522
set/1953;154;5,03888474
out/1953;322;5,775476198
nov/1953;476;6,166045767
dez/1953;1085;6,989612639
jan/1954;868;6,766540904
fev/1954;1533;7,335180948
mar/1954;597;6,392431934
abr/1954;807;6,693708587
mai/1954;314;5,750393484
jun/1954;224;5,413059565
jul/1954;170;5,137676042
ago/1954;137;4,922332772
set/1954;126;4,838850373
out/1954;102;4,628139959
nov/1954;260;5,561928589
dez/1954;1275;7,150957421
jan/1955;1185;7,077775275
fev/1955;1253;7,133559772
mar/1955;889;6,790471591
abr/1955;1083;6,987800775
mai/1955;339;5,827003376
jun/1955;283;5,646657821
jul/1955;198;5,290011189
ago/1955;163;5,095888529
set/1955;151;5,019596678
out/1955;260;5,562023985
nov/1955;421;6,043463468
dez/1955;1079;6,984115953
jan/1956;1007;6,915082326
fev/1956;462;6,136335252
mar/1956;1170;7,065065282
abr/1956;496;6,207305679
mai/1956;460;6,132022507
jun/1956;317;5,760065188
jul/1956;199;5,295171755
ago/1956;164;5,102152399
set/1956;136;4,91541962
out/1956;222;5,404365151
nov/1956;986;6,894036954
dez/1956;1872;7,53496417
jan/1957;2557;7,846738352
fev/1957;2281;7,732536452
mar/1957;2673;7,891100293
abr/1957;2106;7,652729795
mai/1957;620;6,430351989
jun/1957;449;6,107902382
jul/1957;313;5,747474013
ago/1957;229;5,43547448
set/1957;206;5,329829271
out/1957;235;5,461289114
nov/1957;380;5,941225365
dez/1957;934;6,839907474
jan/1958;1213;7,101185598
fev/1958;2545;7,842045792
mar/1958;1389;7,236633933
abr/1958;1481;7,300751925
mai/1958;860;6,757418603
jun/1958;395;5,979951311
jul/1958;330;5,800377199
ago/1958;192;5,259722095
set/1958;213;5,363303935
out/1958;276;5,621944502
nov/1958;322;5,775874288
dez/1958;730;6,59363077
jan/1959;3513;8,164348114
fev/1959;1545;7,343058948
mar/1959;1563;7,354640401
abr/1959;836;6,729153697
mai/1959;393;5,974939282
jun/1959;312;5,744435377
jul/1959;219;5,391125893
ago/1959;179;5,189920833
set/1959;141;4,951982664
out/1959;237;5,469965741
nov/1959;552;6,314365892
dez/1959;558;6,325171387
jan/1960;1746;7,465343795
fev/1960;2783;7,931449332
mar/1960;2790;7,933962665
abr/1960;1578;7,364214663
mai/1960;692;6,540273336
jun/1960;471;6,155877361
jul/1960;343;5,839149513
ago/1960;256;5,547103716
set/1960;170;5,138700822
out/1960;245;5,503227048
nov/1960;569;6,344716898
dez/1960;1191;7,082949114
jan/1961;1640;7,402743259
fev/1961;2004;7,603140379
mar/1961;1381;7,230917416
abr/1961;823;6,712350695
mai/1961;751;6,620749009
jun/1961;342;5,833388652
jul/1961;253;5,53149833
ago/1961;217;5,37773938
set/1961;172;5,144785448
out/1961;175;5,167159109
nov/1961;250;5,52219646
dez/1961;685;6,528903594
jan/1962;1069;6,974622788
fev/1962;1303;7,172313708
mar/1962;1745;7,464366746
abr/1962;735;6,599207385
mai/1962;484;6,181770699
jun/1962;331;5,803141416
jul/1962;251;5,524206606
ago/1962;189;5,243387268
set/1962;165;5,108445397
out/1962;321;5,770480935
nov/1962;459;6,128814994
dez/1962;1387;7,23498822
jan/1963;1412;7,252441165
fev/1963;1490;7,306300793
mar/1963;773;6,65085982
abr/1963;560;6,328095718
mai/1963;406;6,006441593
jun/1963;283;5,647086452
jul/1963;223;5,405025388
ago/1963;174;5,15639118
set/1963;138;4,925932225
out/1963;124;4,822091366
nov/1963;313;5,746149892
dez/1963;455;6,121326451
jan/1964;2681;7,894020279
fev/1964;2568;7,850978369
mar/1964;1133;7,03273522
abr/1964;834;6,726691407
mai/1964;567;6,340214784
jun/1964;368;5,909061387
jul/1964;280;5,634163054
ago/1964;210;5,345423985
set/1964;145;4,975283675
out/1964;298;5,69776927
nov/1964;657;6,488267477
dez/1964;1212;7,099660151
jan/1965;1128;7,028409998
fev/1965;1263;7,141437574
mar/1965;1503;7,315043556
abr/1965;1423;7,260228216
mai/1965;739;6,605716256
jun/1965;480;6,172887989
jul/1965;360;5,885105868
ago/1965;267;5,588796267
set/1965;197;5,282411465
out/1965;566;6,339425761
nov/1965;867;6,764777709
dez/1965;948;6,853985648
jan/1966;1184;7,076730418
fev/1966;3929;8,276083252
